          0.1uF	5	C303, C304, C305, C306, C1901
           1.5k	1	R906
          1.5KR	2	R301, R303
          100nF	16	C1701, C1702, C1703, C1704, C1705, C1706, C1707, C1708, C1709, C1710, C1711, C1712, C1713, C1714, C1715, C1716
           100R	4	R1702, R1703, R1704, R1705
            10K	2	R502, R1402
            10R	48	R1, R2, R3, R4, R5, R6, R7, R8, R701, R702, R703, R704, R705, R706, R707, R708, R717, R718, R719, R720, R721, R722, R723, R724, R733, R734, R735, R736, R737, R738, R739, R740, R741, R742, R743, R744, R745, R746, R747, R748, R749, R750, R751, R752, R753, R754, R755, R756
           10uF	4	C1602, C1603, C1604, C1605
           15pF	2	C906, C907
           330R	8	R201, R202, R203, R307, R308, R501, R1401, R1405
           33pF	1	C904
            39R	2	R909, R910
           470R	1	R302
           47pF	2	C301, C302
            51R	48	R9, R10, R11, R12, R13, R14, R15, R16, R709, R710, R711, R712, R713, R714, R715, R716, R725, R726, R727, R728, R729, R730, R731, R732, R757, R758, R759, R760, R761, R762, R763, R764, R765, R766, R767, R768, R769, R770, R771, R772, R773, R774, R775, R776, R777, R778, R779, R780
           6MHz	1	X301
     AP1122_1.2	1	U1601
NO CONECTAR	1	U1402
     AP1122_3.3	1	U1401
         CONN_2	1	P201
         CONN_3	2	K501, K504
         CONN_5	12	P501, P502, P503, P504, P505, P506, P507, P508, P509, P510, P511, P512
         CONN_6	1	P202
  DOUBLE_SCH_AN	24	D1, D2, D3, D4, D701, D702, D703, D704, D705, D706, D707, D708, D709, D710, D711, D712, D713, D714, D715, D716, D717, D718, D719, D720
        FT2232D	1	U301
       FXO-HC73	1	OSC1901
            LED	8	D201, D202, D203, D301, D302, D1401, D1402, D1702
         M25PXX	1	U501
       MINI-USB	1	X901
0R	1	R401
NO CONECTAR	1	PAD801
         SPULSE	2	SW501, SW1402
 XC3S250E-VQ100	1	IC1701
