ref;value
C301;47pF
C302;47pF
C303;0.1uF
C304;0.1uF
C305;0.1uF
C306;0.1uF
C904;33pF
C906;15pF
C907;15pF
C1602;10uF
C1603;47uF
C1604;10uF
C1605;10uF
C1701;100nF
C1702;100nF
C1703;100nF
C1704;100nF
C1705;100nF
C1706;100nF
C1707;100nF
C1708;100nF
C1709;100nF
C1710;100nF
C1711;100nF
C1712;100nF
C1713;100nF
C1714;100nF
C1715;100nF
C1716;100nF
C1901;1uF
D1;DOUBLE_SCH_AN
D2;DOUBLE_SCH_AN
D3;DOUBLE_SCH_AN
D4;DOUBLE_SCH_AN
D201;LED
D202;LED
D203;LED
D301;LED
D302;LED
D701;DOUBLE_SCH_AN
D702;DOUBLE_SCH_AN
D703;DOUBLE_SCH_AN
D704;DOUBLE_SCH_AN
D705;DOUBLE_SCH_AN
D706;DOUBLE_SCH_AN
D707;DOUBLE_SCH_AN
D708;DOUBLE_SCH_AN
D709;DOUBLE_SCH_AN
D710;DOUBLE_SCH_AN
D711;DOUBLE_SCH_AN
D712;DOUBLE_SCH_AN
D713;DOUBLE_SCH_AN
D714;DOUBLE_SCH_AN
D715;DOUBLE_SCH_AN
D716;DOUBLE_SCH_AN
D717;DOUBLE_SCH_AN
D718;DOUBLE_SCH_AN
D719;DOUBLE_SCH_AN
D720;DOUBLE_SCH_AN
D1401;LED
D1402;LED
D1702;LED
IC1701;XC3S250E-VQ100
K501;CONN_3
K504;CONN_3
L901;HZ0805C202R-10
OSC1901;FXO-HC73
P201;CONN_2
P202;CONN_6
P501;CONN_5
P502;CONN_5
P503;CONN_5
P504;CONN_5
P505;CONN_5
P506;CONN_5
P507;CONN_5
P508;CONN_5
P509;CONN_5
P510;CONN_5
P511;CONN_5
P512;CONN_5
PAD801;PAD2_NC
R1;10R
R2;10R
R3;10R
R4;10R
R5;10R
R6;10R
R7;10R
R8;10R
R9;51R
R10;51R
R11;51R
R12;51R
R13;51R
R14;51R
R15;51R
R16;51R
R201;330R
R202;330R
R203;330R
R301;1.5KR
R302;470R
R303;1.5KR
R307;330R
R308;330R
R501;330R
R502;10K
R701;10R
R702;10R
R703;10R
R704;10R
R705;10R
R706;10R
R707;10R
R708;10R
R709;51R
R710;51R
R711;51R
R712;51R
R713;51R
R714;51R
R715;51R
R716;51R
R717;10R
R718;10R
R719;10R
R720;10R
R721;10R
R722;10R
R723;10R
R724;10R
R725;51R
R726;51R
R727;51R
R728;51R
R729;51R
R730;51R
R731;51R
R732;51R
R733;10R
R734;10R
R735;10R
R736;10R
R737;10R
R738;10R
R739;10R
R740;10R
R741;10R
R742;10R
R743;10R
R744;10R
R745;10R
R746;10R
R747;10R
R748;10R
R749;10R
R750;10R
R751;10R
R752;10R
R753;10R
R754;10R
R755;10R
R756;10R
R757;51R
R758;51R
R759;51R
R760;51R
R761;51R
R762;51R
R763;51R
R764;51R
R765;51R
R766;51R
R767;51R
R768;51R
R769;51R
R770;51R
R771;51R
R772;51R
R773;51R
R774;51R
R775;51R
R776;51R
R777;51R
R778;51R
R779;51R
R780;51R
R906;1.5k
R909;39R
R910;39R
R1401;330R
R1402;10K
R1405;330R
R1702;100R
R1703;100R
R1704;100R
R1705;100R
SW501;SPULSE
SW1402;SPULSE
U301;FT2232D
U501;M25PXX
U1401;AP1122_3.3
U1402;AP1122_2.5
U1601;AP1122_1.2
X301;6MHz
X901;MINI-USB
